TAG,Datum,Berechnung IT,Wochentag,Italien,%Fälle / Bevölkerung,Gesunde IT,Neue Fälle IT,Wachstumsrate IT,Todesfälle IT,%Tote / Bevölkerung
1,43876,6,Sa,3,"0,000",,2,,,
2,43877,7,So,3,"0,000",,,,,
3,43878,1,Mo,3,"0,000",,,,,
4,43879,2,Di,3,"0,000",,,,,
5,43880,3,Mi,3,"0,000",,,,,
6,43881,4,Do,3,"0,000",,,,,
7,43882,5,Fr,20,"0,000",,17,,1,"0,000"
8,43883,6,Sa,79,"0,000",1,59,,2,"0,000"
9,43884,7,So,150,"0,000",1,71,,3,"0,000"
10,43885,1,Mo,227,"0,000",2,77,"51,333",7,"0,000"
11,43886,2,Di,320,"0,001",2,93,"40,969",10,"0,000"
12,43887,3,Mi,445,"0,001",3,125,"39,063",12,"0,000"
13,43888,4,Do,650,"0,001",45,205,"46,067",17,"0,000"
14,43889,5,Fr,888,"0,001",46,238,"36,615",21,"0,000"
15,43890,6,Sa,1128,"0,002",46,240,"27,027",29,"0,000"
16,43891,7,So,1694,"0,003",83,566,"50,177",34,"0,000"
17,43892,1,Mo,2036,"0,003",149,342,"20,189",52,"0,000"
18,43893,2,Di,2502,"0,004",160,466,"22,888",79,"0,000"
19,43894,3,Mi,3089,"0,005",276,587,"23,461",107,"0,000"
20,43895,4,Do,3858,"0,006",414,769,"24,895",148,"0,000"
21,43896,5,Fr,4636,"0,008",523,778,"20,166",197,"0,000"
22,43897,6,Sa,5883,"0,010",589,1247,"26,898",233,"0,000"
23,43898,7,So,7375,"0,012",622,1492,"25,361",366,"0,001"
24,43899,1,Mo,9172,"0,015",724,1797,"24,366",463,"0,001"
25,43900,2,Di,10149,"0,017",724,977,"10,652",631,"0,001"
26,43901,3,Mi,12462,"0,021",1045,2313,"22,790",827,"0,001"
27,43902,4,Do,15113,"0,025",1045,2651,"21,273",827,"0,001"
28,43903,5,Fr,17660,"0,029",1439,2547,"16,853",1266,"0,002"
29,43904,6,Sa,21157,"0,035",1966,3497,"19,802",1441,"0,002"
30,43905,7,So,24747,"0,041",2335,3590,"16,968",1809,"0,003"
31,43906,1,Mo,27980,"0,046",2749,3233,"13,064",2158,"0,004"
32,43907,2,Di,31506,"0,052",2941,3526,"12,602",2503,"0,004"
33,43908,3,Mi,35713,"0,059",4025,4207,"13,353",2978,"0,005"
34,43909,4,Do,41035,"0,068",4440,5322,"14,902",3405,"0,006"
35,43910,5,Fr,47021,"0,078",5129,5986,"14,588",4032,"0,007"
36,43911,6,Sa,53578,"0,089",6072,6557,"13,945",4825,"0,008"
37,43912,7,So,59138,"0,098",7024,5560,"10,377",5476,"0,009"
38,43913,1,Mo,63927,"0,106",7432,4789,"8,098",6077,"0,010"
39,43914,2,Di,69176,"0,114",8326,5249,"8,211",6820,"0,011"
40,43915,3,Mi,74386,"0,123",9362,5210,"7,532",7503,"0,012"
41,43916,4,Do,80589,"0,133",10361,6203,"8,339",8215,"0,014"
42,43917,5,Fr,86498,"0,143",10950,5909,"7,332",9134,"0,015"
43,43918,6,Sa,92472,"0,153",12384,5974,"6,907",10023,"0,017"
44,43919,7,So,97689,"0,162",13030,5217,"5,642",10779,"0,018"
45,43920,1,Mo,101739,"0,168",14620,4050,"4,146",11591,"0,019"
46,43921,2,Di,105792,"0,175",15729,4053,"3,984",12428,"0,021"
47,43922,3,Mi,110574,"0,183",16847,4782,"4,520",13155,"0,022"
48,43923,4,Do,115242,"0,191",18278,4668,"4,222",13915,"0,023"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
